From ./TPVenus.dat with mu = 43.45 and log g = 2.94
    Z         T         EDD       DEN        P
  0.000e+00 7.353e+02 2.200e+03 9.072e+20 9.210e+01
  1.000e+00 7.277e+02 2.200e+03 8.605e+20 8.645e+01
  2.000e+00 7.202e+02 2.200e+03 8.155e+20 8.109e+01
  3.000e+00 7.124e+02 2.200e+03 7.728e+20 7.601e+01
  4.000e+00 7.046e+02 2.200e+03 7.319e+20 7.120e+01
  5.000e+00 6.968e+02 2.200e+03 6.928e+20 6.665e+01
  6.000e+00 6.888e+02 2.200e+03 6.556e+20 6.235e+01
  7.000e+00 6.811e+02 2.200e+03 6.198e+20 5.828e+01
  8.000e+00 6.736e+02 2.200e+03 5.854e+20 5.444e+01
  9.000e+00 6.658e+02 2.200e+03 5.527e+20 5.081e+01
  1.000e+01 6.582e+02 2.200e+03 5.215e+20 4.739e+01
  1.100e+01 6.506e+02 2.200e+03 4.916e+20 4.416e+01
  1.200e+01 6.432e+02 2.200e+03 4.630e+20 4.112e+01
  1.300e+01 6.355e+02 2.200e+03 4.361e+20 3.826e+01
  1.400e+01 6.281e+02 2.200e+03 4.102e+20 3.557e+01
  1.500e+01 6.208e+02 2.200e+03 3.855e+20 3.304e+01
  1.600e+01 6.133e+02 2.200e+03 3.621e+20 3.066e+01
  1.700e+01 6.052e+02 2.200e+03 3.402e+20 2.843e+01
  1.800e+01 5.971e+02 2.200e+03 3.194e+20 2.633e+01
  1.900e+01 5.893e+02 2.200e+03 2.994e+20 2.436e+01
  2.000e+01 5.807e+02 2.200e+03 2.809e+20 2.252e+01
  2.100e+01 5.724e+02 2.200e+03 2.631e+20 2.079e+01
  2.200e+01 5.643e+02 2.200e+03 2.461e+20 1.917e+01
  2.300e+01 5.560e+02 2.200e+03 2.301e+20 1.766e+01
  2.400e+01 5.475e+02 2.200e+03 2.150e+20 1.625e+01
  2.500e+01 5.392e+02 2.200e+03 2.006e+20 1.493e+01
  2.600e+01 5.307e+02 2.200e+03 1.870e+20 1.370e+01
  2.700e+01 5.223e+02 2.200e+03 1.742e+20 1.256e+01
  2.800e+01 5.138e+02 2.200e+03 1.620e+20 1.149e+01
  2.900e+01 5.056e+02 2.200e+03 1.504e+20 1.050e+01
  3.000e+01 4.969e+02 2.200e+03 1.397e+20 9.581e+00
  3.100e+01 4.883e+02 2.405e+03 1.295e+20 8.729e+00
  3.200e+01 4.799e+02 2.629e+03 1.198e+20 7.940e+00
  3.300e+01 4.717e+02 2.874e+03 1.107e+20 7.211e+00
  3.400e+01 4.634e+02 3.142e+03 1.022e+20 6.537e+00
  3.500e+01 4.550e+02 3.434e+03 9.417e+19 5.916e+00
  3.600e+01 4.468e+02 3.754e+03 8.665e+19 5.345e+00
  3.700e+01 4.386e+02 4.104e+03 7.960e+19 4.820e+00
  3.800e+01 4.308e+02 4.486e+03 7.293e+19 4.338e+00
  3.900e+01 4.233e+02 4.904e+03 6.668e+19 3.897e+00
  4.000e+01 4.155e+02 5.361e+03 6.092e+19 3.495e+00
  4.100e+01 4.081e+02 5.860e+03 5.550e+19 3.127e+00
  4.200e+01 4.016e+02 6.406e+03 5.037e+19 2.793e+00
  4.300e+01 3.950e+02 7.003e+03 4.568e+19 2.491e+00
  4.400e+01 3.883e+02 7.655e+03 4.134e+19 2.216e+00
  4.500e+01 3.818e+02 8.368e+03 3.735e+19 1.969e+00
  4.600e+01 3.761e+02 9.148e+03 3.361e+19 1.745e+00
  4.700e+01 3.702e+02 1.000e+04 3.021e+19 1.544e+00
  4.800e+01 3.646e+02 1.000e+04 2.710e+19 1.364e+00
  4.900e+01 3.575e+02 1.000e+04 2.435e+19 1.202e+00
  5.000e+01 3.497e+02 1.000e+04 2.189e+19 1.057e+00
  5.100e+01 3.411e+02 1.000e+04 1.966e+19 9.258e-01
  5.200e+01 3.325e+02 1.000e+04 1.762e+19 8.087e-01
  5.300e+01 3.219e+02 1.000e+04 1.583e+19 7.036e-01
  5.400e+01 3.123e+02 1.000e+04 1.414e+19 6.095e-01
  5.500e+01 3.014e+02 1.000e+04 1.263e+19 5.255e-01
  5.600e+01 2.902e+02 1.000e+04 1.124e+19 4.505e-01
  5.700e+01 2.783e+02 1.000e+04 9.986e+18 3.837e-01
  5.800e+01 2.674e+02 1.000e+04 8.800e+18 3.249e-01
  5.900e+01 2.587e+02 1.000e+04 7.652e+18 2.733e-01
  6.000e+01 2.533e+02 1.000e+04 6.545e+18 2.289e-01
  6.200e+01 2.462e+02 1.413e+04 4.681e+18 1.591e-01
  6.400e+01 2.407e+02 1.995e+04 3.298e+18 1.096e-01
  6.600e+01 2.358e+02 2.818e+04 2.300e+18 7.489e-02
  6.800e+01 2.319e+02 3.981e+04 1.587e+18 5.082e-02
  7.000e+01 2.282e+02 5.623e+04 1.088e+18 3.428e-02
